"lob","benchmark_type","category","mcg","prcnt_bnmrk","prcnt_actul","label_bnmrk","label_actul"
"com","moderately managed","ped","p-414",0,0,"0%","0%"
"com","weighted national","card","mg-c",0.03,0.02,"0.03%","0.02%"
"com","new england","gs","s-232",0.03,0.05,"0.03%","0.05%"
"com","loosely managed","hns","mg-hnd",0.03,0.02,"0.03%","0.02%"
"com","middle atlantic","bh","b-014-ip",0.02,0.02,"0.02%","0.02%"
"com","east north central","cv","s-480",0,0,"0%","0%"
"com","west north central","gs","s-360",0.01,0,"0.01%","0%"
"com","middle atlantic","gs","s-05",0,0,"0%","0%"
"com","moderately managed","ped","p-60",0.01,0.02,"0.01%","0.02%"
"com","new england","card","m-575",0,0.01,"0%","0.01%"
"com","middle atlantic","gi","m-200",0,0,"0%","0%"
"com","others","neo","p-355",0,0.01,"0%","0.01%"
"com","east north central","cv","s-160",0,0,"0%","0%"
"com","west north central","ort","m-63",0.01,0.01,"0.01%","0.01%"
"com","middle atlantic","ped","p-950",0,0,"0%","0%"
"com","others","unclx","a-nsf",0.06,0.03,"0.06%","0.03%"
"com","loosely managed","thor","s-802",0,0.01,"0%","0.01%"
"com","pacific","cv","s-300",0,0,"0%","0%"
"com","moderately managed","neph","m-325",0,0.01,"0%","0.01%"
"com","others","gs","s-1060",0,0,"0%","0%"
"com","new england","other","pg-ws",0.03,0.03,"0.03%","0.03%"
"com","south atlantic","ped","p-1300",0,0,"0%","0%"
"com","east north central","neuro","m-580",0.01,0.02,"0.01%","0.02%"
"com","weighted national","ort","s-1124",0,0,"0%","0%"
"com","well managed","unclx","a-mpc",0,0,"0%","0%"
"com","west north central","gi","m-560",0,0.01,"0%","0.01%"
"com","south atlantic","uro","m-300",0.05,0.04,"0.05%","0.04%"
"com","east south central","neuro","m-327",0.02,0.01,"0.02%","0.01%"
"com","pacific","gi","m-180",0.02,0.02,"0.02%","0.02%"
"com","east north central","gs","s-515",0,0,"0%","0%"
"com","middle atlantic","ped","p-300",0,0,"0%","0%"
"com","south atlantic","ns","s-380",0,0,"0%","0%"
"com","west south central","ped","p-170",0,0,"0%","0%"
"com","well managed","ort","s-72",0,0,"0%","0%"
"com","middle atlantic","ped","p-220",0,0,"0%","0%"
"com","weighted national","ped","p-390",0.01,0.01,"0.01%","0.01%"
"com","weighted national","ob","m-260",0.01,0,"0.01%","0%"
"com","weighted national","endo","s-1090",0,0.01,"0%","0.01%"
"com","west south central","gs","s-232",0.03,0.05,"0.03%","0.05%"
"com","east north central","ort","s-810",0.01,0,"0.01%","0%"
"com","east north central","gs","s-05",0,0,"0%","0%"
"com","west north central","bh","b-008-ip",0.15,0.07,"0.15%","0.07%"
"com","west south central","ped","p-210",0,0,"0%","0%"
"com","moderately managed","thor","pg-rf",0.05,0.04,"0.05%","0.04%"
"com","loosely managed","cv","s-150",0,0,"0%","0%"
"com","loosely managed","cv","s-160",0,0,"0%","0%"
"com","weighted national","hns","mg-hnd",0.02,0.02,"0.02%","0.02%"
"com","weighted national","bh","b-024-ip",0,0,"0%","0%"
"com","south atlantic","uro","s-910",0,0,"0%","0%"
"com","loosely managed","hema","m-331",0.01,0,"0.01%","0%"
"com","new england","hns","sg-hns",0.02,0.03,"0.02%","0.03%"
"com","east north central","gi","m-200",0,0,"0%","0%"
"com","west south central","neph","m-310",0,0,"0%","0%"
"com","new england","neuro","m-221",0,0,"0%","0%"
"com","weighted national","gi","m-555",0.02,0.01,"0.02%","0.01%"
"com","new england","bh","b-011-ip",0.02,0.01,"0.02%","0.01%"
"com","east south central","ns","sg-ns",0.03,0.03,"0.03%","0.03%"
"com","moderately managed","ort","s-110",0,0,"0%","0%"
"com","new england","hns","s-780",0,0,"0%","0%"
"com","pacific","ort","s-100",0.01,0.01,"0.01%","0.01%"
"com","loosely managed","gs","s-370",0,0,"0%","0%"
"com","west north central","ort","s-632",0,0,"0%","0%"
"com","loosely managed","gs","s-515",0,0,"0%","0%"
"com","moderately managed","gs","s-05",0,0,"0%","0%"
"com","loosely managed","ns","s-640",0,0.01,"0%","0.01%"
"com","new england","bh","b-021-ip",0,0,"0%","0%"
"com","east north central","ophth","s-430",0,0,"0%","0%"
"com","south atlantic","thor","m-515",0.01,0,"0.01%","0%"
"com","west north central","ped","p-795",0,0,"0%","0%"
"com","east north central","ped","p-300",0,0,"0%","0%"
"com","mountain","ob","s-1020",0,0,"0%","0%"
"com","middle atlantic","cv","s-282",0,0,"0%","0%"
"com","weighted national","ns","s-412",0,0,"0%","0%"
"com","moderately managed","ob","m-260",0,0,"0%","0%"
"com","moderately managed","ped","p-87",0.01,0,"0.01%","0%"
"com","pacific","gs","s-220",0,0,"0%","0%"
"com","west south central","ped","p-123",0.01,0,"0.01%","0%"
"com","others","gs","s-175",0.01,0.01,"0.01%","0.01%"
"com","west south central","endo","s-1090",0,0.01,"0%","0.01%"
"com","weighted national","gs","s-990",0,0,"0%","0%"
"com","west north central","ped","p-950",0,0,"0%","0%"
"com","pacific","ophth","s-1030",0,0,"0%","0%"
"com","others","uro","s-1140",0,0,"0%","0%"
"com","east north central","ped","p-219",0,0,"0%","0%"
"com","others","cv","s-1072",0,0,"0%","0%"
"com","others","ns","s-640",0.01,0.01,"0.01%","0.01%"
"com","loosely managed","ort","s-1056",0,0,"0%","0%"
"com","south atlantic","ort","s-740",0,0,"0%","0%"
"com","moderately managed","ort","s-633",0,0,"0%","0%"
"com","weighted national","uro","m-300",0.05,0.04,"0.05%","0.04%"
"com","others","card","m-89",0.04,0.01,"0.04%","0.01%"
"com","mountain","ort","s-810",0.01,0,"0.01%","0%"
"com","moderately managed","thor","m-350",0.01,0,"0.01%","0%"
"com","others","ns","s-412",0,0,"0%","0%"
"com","new england","ophth","s-1190",0,0,"0%","0%"
"com","weighted national","ped","p-1300",0,0,"0%","0%"
"com","east north central","hema","m-331",0.01,0,"0.01%","0%"
"com","others","gs","s-440",0,0,"0%","0%"
"com","west south central","ped","p-410",0.01,0,"0.01%","0%"
"com","east north central","cv","s-150",0,0,"0%","0%"
"com","loosely managed","ort","s-560",0.11,0.11,"0.11%","0.11%"
"com","weighted national","ped","p-272",0,0,"0%","0%"
"com","loosely managed","ped","p-1056",0,0,"0%","0%"
"com","pacific","card","m-240",0,0,"0%","0%"
"com","new england","bh","b-028-ip",0.01,0.01,"0.01%","0.01%"
"com","weighted national","cv","s-291",0,0,"0%","0%"
"com","new england","ns","s-380",0,0,"0%","0%"
"com","middle atlantic","ped","p-12",0,0,"0%","0%"
"com","moderately managed","bh","b-009-ip",0,0,"0%","0%"
"com","loosely managed","card","m-89",0.02,0.01,"0.02%","0.01%"
"com","middle atlantic","ort","s-633",0,0,"0%","0%"
"com","mountain","cv","s-150",0,0,"0%","0%"
"com","west south central","ort","s-60",0,0,"0%","0%"
"com","new england","card","m-40",0.01,0.02,"0.01%","0.02%"
"com","south atlantic","gs","s-864",0,0,"0%","0%"
"com","west north central","gs","s-220",0.01,0,"0.01%","0%"
"com","south atlantic","ped","p-320",0,0,"0%","0%"
"com","mountain","ped","p-30",0.01,0,"0.01%","0%"
"com","east north central","ped","p-371",0,0,"0%","0%"
"com","east north central","gi","m-251",0,0,"0%","0%"
"com","pacific","ort","sg-ms",0.06,0.05,"0.06%","0.05%"
"com","weighted national","ped","p-535",0,0,"0%","0%"
"com","west south central","ob","sg-obs",0.01,0.01,"0.01%","0.01%"
"com","east south central","ped","p-114",0,0,"0%","0%"
"com","south atlantic","ped","p-90",0,0,"0%","0%"
"com","mountain","ped","p-400",0,0,"0%","0%"
"com","new england","ort","s-60",0,0,"0%","0%"
"com","new england","ped","p-80",0.02,0.02,"0.02%","0.02%"
